Minutes,Seconds,Milliseconds,FL Outer,FL Inner,FR Outer,FR Inner,RL Outer,RL Inner,RR Outer,RR Inner,AcX,AcY,AcZ,GyX,GyY,GyZ,Satellites,Lat,Long,GPS Speed,Vehicle Speed,RPM
0,8,301,80,90,80,90,80,90,80,90,-0.33,0.084,0.835,-0.954,-2.382,0.542,0,0,0,0,0,674
0,8,513,80,90,80,90,80,90,80,90,-0.34,0.079,0.831,-1.977,-2.763,0.702,0,0,0,0,0,675
0,8,653,80,90,80,90,80,90,80,90,-0.32,0.078,0.836,-0.565,-2.695,0.55,0,0,0,0,0,676
0,8,797,80,90,80,90,80,90,80,90,-0.33,0.051,0.827,-1.084,-2.649,0.649,0,0,0,0,0,678
0,8,937,80,90,80,90,80,90,80,90,-0.34,0.054,0.816,-0.641,-2.695,0.565,0,0,0,0,0,679
0,9,76,80,90,80,90,80,90,80,90,-0.33,0.078,0.828,-0.168,-1.718,0.664,0,0,0,0,0,684
0,9,217,80,90,80,90,80,90,80,90,-0.32,0.083,0.84,-0.992,-2.626,0.466,0,0,0,0,0,682
0,9,357,80,90,80,90,80,90,80,90,-0.32,0.081,0.847,0.137,-2.496,0.855,0,0,0,0,0,681
0,9,501,80,90,80,90,80,90,80,90,-0.34,0.069,0.828,-1.687,-2.748,0.321,0,0,0,0,0,683
0,9,641,80,90,80,90,80,90,80,90,-0.33,0.057,0.815,0.191,-2.466,0.756,0,0,0,0,0,684
0,9,783,80,90,80,90,80,90,80,90,-0.32,0.082,0.817,-0.924,-1.794,0.817,0,0,0,0,0,689
0,9,923,80,90,80,90,80,90,80,90,-0.33,0.075,0.842,-0.389,-2.603,0.618,0,0,0,0,0,692
0,10,68,80,90,80,90,80,90,80,90,-0.32,0.065,0.81,-1.939,-2.695,0.481,0,0,0,0,0,693
0,10,209,80,90,80,90,80,90,80,90,-0.32,0.075,0.809,-0.496,-2.786,0.458,0,0,0,0,0,696
0,10,351,90,100,90,100,90,100,90,100,-0.33,0.086,0.82,-0.687,-1.458,0.565,0,0,0,0,0,694
